date,productId,currency,price
20228513,552,GBP,335.42
20222590,739,EUR,122.43
20221197,748,CNY,235.7
20221891,368,CNY,275.72
20214983,627,JPY,11.04
20224218,346,GBP,452.37
20202561,667,JPY,139.98
20215643,691,CNY,118.8
20214621,976,GBP,467.67
20207606,202,GBP,159.89
20213404,903,USD,447.64
20212028,632,CNY,21.02
20228169,771,EUR,40.0
20201613,924,JPY,217.97
20211427,55,JPY,460.85
20202275,306,CNY,376.18
20212936,333,EUR,433.86
20217639,825,JPY,449.31
20226929,153,GBP,32.13
20201404,77,USD,284.96
20210703,228,JPY,320.54
20217506,616,GBP,44.8
20201114,17,CNY,94.95
20221631,716,USD,140.84
20229424,378,GBP,5.54
20202944,613,JPY,457.74
20225285,332,EUR,38.78
20216161,294,CNY,340.8
20228626,407,CNY,258.35
20207499,59,GBP,144.43
20225913,565,CNY,457.66
20211128,656,USD,348.28
20230951,771,USD,101.9
20214278,665,USD,447.42
20220319,211,CNY,223.27
20209094,762,EUR,77.57
20215373,304,GBP,180.06
20214260,975,GBP,164.43
20210168,102,CNY,321.14
20229235,167,JPY,371.01
20222667,929,EUR,389.49
20218855,805,USD,342.35
20220135,61,EUR,321.78
20210973,591,USD,422.29
20230488,315,EUR,30.08
20230981,335,CNY,411.17
20211246,28,EUR,476.96
20230502,644,GBP,482.22
20230656,594,GBP,384.16
20210609,80,EUR,474.58
20222456,421,JPY,226.6
20214943,226,JPY,234.25
20227374,295,CNY,85.93
20217651,479,EUR,461.28
20217056,95,JPY,401.71
20215089,38,USD,116.86
20225357,900,GBP,1.47
20201795,535,GBP,14.33
20210597,22,EUR,155.19
20226798,523,CNY,331.95
20218821,412,CNY,420.99
20208438,268,JPY,15.59
20206642,756,USD,348.45
20201449,293,CNY,432.46
20201932,524,EUR,161.98
20205831,127,USD,275.05
20210362,938,GBP,274.29
20218239,270,GBP,273.3
20223612,711,CNY,268.79
20230254,46,CNY,226.42
20222061,138,GBP,456.81
20207243,108,EUR,294.02
20221445,155,JPY,494.39
20224965,190,USD,137.83
20205558,702,GBP,195.34
20223043,160,GBP,283.68
20221952,647,GBP,116.83
20218544,156,USD,304.48
20207783,351,GBP,75.23
20203878,31,CNY,268.84
20215105,523,CNY,157.29
20228046,336,GBP,4.63
20201533,254,JPY,192.92
20201079,293,EUR,336.02
20223187,74,EUR,254.32
20227695,664,USD,232.27
20223759,211,USD,412.68
20218207,918,USD,121.16
20210796,738,USD,133.38
20214531,671,EUR,328.0
20209152,913,JPY,31.14
20219506,553,USD,431.93
20207927,226,CNY,419.11
20212012,720,CNY,461.18
20211908,861,CNY,420.13
20229983,669,JPY,348.08
20218895,983,CNY,491.16
20221477,343,JPY,416.53
20201673,72,USD,417.8
20206510,419,EUR,190.01
20210801,178,EUR,364.6
20215471,180,USD,429.66
20208140,482,GBP,195.14
20217673,402,USD,433.01
20205867,373,EUR,335.07
20225606,611,CNY,248.15
20230148,763,GBP,358.67
20212090,536,EUR,137.61
20228116,497,USD,253.11
20210912,330,USD,462.73
20205916,566,GBP,343.16
20229846,435,CNY,43.1
20231196,526,JPY,187.38
20221131,258,GBP,252.89
20226636,848,JPY,108.82
20225929,364,EUR,444.77
20230641,694,EUR,168.9
20218652,823,JPY,51.06
20204309,782,USD,254.51
20228584,529,USD,113.58
20224953,966,JPY,271.41
20217318,281,CNY,229.51
20212537,227,GBP,241.45
20226463,554,GBP,144.27
20225395,476,CNY,431.02
20220671,199,GBP,383.05
20226537,467,GBP,167.7
20200321,844,GBP,268.05
20224303,334,JPY,275.15
20213279,702,JPY,248.89
20207145,800,JPY,387.98
20205497,112,CNY,377.27
20228927,424,USD,321.06
20228850,703,EUR,53.0
20215265,622,USD,365.71
20207083,976,GBP,266.43
20218085,639,CNY,36.38
20221792,190,JPY,126.12
20208327,896,CNY,182.53
20206341,151,JPY,381.97
20213928,435,EUR,77.03
20202756,828,USD,111.24
20224698,198,JPY,437.33
20209064,237,USD,89.32
20225172,682,CNY,113.58
20212372,450,EUR,133.6
20200296,632,USD,98.6
20202750,780,GBP,111.8
20227617,251,CNY,353.75
20201994,517,JPY,455.02
20230805,821,GBP,30.36
20228493,772,JPY,106.21
20227130,554,GBP,293.89
20204061,738,JPY,17.44
20202929,586,GBP,75.08
20210956,18,USD,129.58
20213700,415,JPY,492.02
20206899,296,GBP,262.05
20230606,728,GBP,284.63
20220792,529,CNY,113.61
20201835,86,GBP,401.05
20219088,115,USD,430.92
20205852,218,CNY,286.19
20200263,496,CNY,313.57
20213478,545,GBP,256.16
20204999,336,EUR,418.8
20221408,691,USD,331.33
20212104,795,USD,355.64
20216845,935,GBP,313.94
20222182,616,CNY,442.31
20201455,204,CNY,212.7
20215463,117,USD,229.91
20210108,672,USD,162.78
20221439,386,GBP,149.33
20214490,367,CNY,392.59
20219810,814,JPY,232.8
20226279,141,JPY,494.64
20223826,6,JPY,321.31
20208596,44,JPY,150.51
20222209,469,JPY,376.85
20201210,418,EUR,453.37
20200779,944,JPY,459.32
20201179,320,CNY,180.74
20201286,583,GBP,161.6
20226092,151,GBP,210.19
20207039,897,JPY,410.14
20207588,177,JPY,114.39
20200665,730,USD,346.03
