date,productId,currency,price
20224211,72,GBP,386.45
,,JPY,FREE
20220134,653,USD,266.81
20226222,710,USD,203.58
20208612,160,CNY,109.4
20214883,98,EUR,30.53
20224018,791,EUR,431.75
20203181,227,JPY,254.04
20213388,458,JPY,338.51
20202750,701,CNY,327.82
20223238,181,CNY,279.29
20214717,52,GBP,190.67
20217057,290,EUR,185.43
20230612,756,CNY,20.67
20225998,847,CNY,492.42
20240230,146,EUR,139.19
abc,XYZ,USD,FREE
20204759,597,GBP,291.26
20227265,631,CNY,441.72
20229168,746,EUR,68.62
20210847,179,USD,356.17
20216139,68,GBP,389.59
20222774,288,JPY,358.43
20225360,645,CNY,270.15
20224176,575,USD,283.33
20223182,640,CNY,309.52
20222430,151,EUR,156.94
20218031,976,JPY,233.83
20215938,349,USD,493.93
20208015,517,CNY,7.9
20216269,91,GBP,28.6
20200324,344,CNY,29.71
20210490,526,EUR,243.81
20218750,351,CNY,93.18
20208500,491,USD,494.36
,XYZ,CNY,325.34
20205885,657,EUR,389.46
20228516,636,GBP,411.2
20221641,XYZ,,N/A
20223904,485,GBP,8.1
20201936,710,USD,458.78
20214514,665,USD,148.49
20207243,947,EUR,148.78
,XYZ,INVALID,FREE
20218962,902,EUR,34.73
20216797,639,JPY,490.74
20210265,583,CNY,300.87
20227787,619,EUR,395.11
20214506,137,JPY,259.43
20209202,435,USD,226.36
20201165,389,JPY,389.53
20219211,72,GBP,7.15
20206143,122,EUR,257.35
20206832,788,INVALID,FREE
20209724,990,JPY,17.58
20211046,964,JPY,371.73
20212318,294,JPY,241.98
20226868,585,CNY,29.29
20227186,258,CNY,356.02
20229459,54,JPY,276.3
20201808,718,JPY,234.69
20217590,658,JPY,233.37
20224028,475,EUR,269.65
20205114,-1,INVALID,N/A
20214227,620,JPY,163.63
20228265,466,GBP,50.37
20223663,747,USD,213.34
20221649,968,GBP,489.84
20204749,828,GBP,17.64
20214580,526,JPY,218.2
,,,
20218811,38,EUR,266.85
20203384,917,USD,276.88
20202308,543,EUR,311.98
20201827,738,USD,182.56
,,USD,N/A
20213615,551,CNY,147.66
20240230,-1,GBP,
20221575,20,GBP,17.2
20230078,866,CNY,407.74
20202289,10,GBP,295.88
20216885,193,CNY,147.4
20240230,792,EUR,N/A
20211033,728,GBP,367.41
20204760,864,JPY,167.79
20215261,628,EUR,445.36
20206246,361,JPY,295.66
20218388,80,EUR,253.04
20226706,496,CNY,80.37
20240230,999999,JPY,
20212564,164,JPY,220.56
20205838,937,JPY,46.05
20211361,332,CNY,153.93
20228290,673,EUR,95.68
20202568,872,JPY,287.87
20227641,434,JPY,177.21
20222356,110,CNY,278.72
20211851,739,GBP,408.4
20208311,757,CNY,319.6
20204245,106,USD,55.48
20206004,436,EUR,368.88
20213768,292,USD,198.12
20203445,642,USD,384.79
20221477,17,USD,490.74
20230620,561,GBP,254.42
20230240,453,USD,249.35
20208087,746,EUR,94.9
20210646,490,GBP,26.73
20201419,904,CNY,131.94
20227945,408,GBP,292.14
20219802,425,EUR,148.09
20211090,217,USD,244.69
20228567,472,CNY,88.96
20224127,717,EUR,89.09
20217077,9,USD,327.19
20217253,827,CNY,156.03
20212834,349,JPY,59.0
20225545,521,GBP,476.48
20205901,710,GBP,1.53
20218055,735,GBP,264.37
20202676,907,EUR,279.78
20229415,-1,,-100
20226946,978,JPY,11.2
20222110,525,USD,291.17
20209829,528,EUR,468.88
20210684,830,JPY,209.78
20227943,614,EUR,24.31
20201818,589,USD,188.58
abc,194,GBP,67.17
20223655,971,USD,392.36
20203488,663,CNY,177.8
20230588,566,EUR,407.76
20200345,81,EUR,192.73
20214888,619,GBP,316.25
20206427,83,GBP,291.38
,,,N/A
20212337,469,GBP,402.85
20203405,547,JPY,160.31
20214516,606,GBP,40.13
abc,999999,CNY,15.89
,,USD,323.41
20212959,628,CNY,165.51
20204121,918,GBP,466.7
20212482,160,CNY,421.79
abc,843,INVALID,87.52
20211881,295,CNY,341.5
20202005,770,JPY,309.06
20215861,980,EUR,404.84
20203122,468,EUR,285.19
20213091,739,EUR,81.23
abc,-1,INVALID,350.8
20214624,720,EUR,208.79
20202146,872,JPY,446.75
20222238,277,EUR,96.42
20202308,520,EUR,414.32
20218731,993,GBP,163.73
20212515,49,GBP,131.68
abc,999999,CNY,N/A
20210908,523,GBP,310.76
20223527,756,EUR,400.52
20230315,46,USD,287.58
20212136,744,USD,370.99
20217933,655,GBP,457.83
20209844,722,GBP,278.99
20205057,534,JPY,442.11
20224330,546,USD,244.86
20205931,442,JPY,413.61
20227976,91,CNY,172.4
20211716,425,GBP,364.32
20204125,789,GBP,104.59
20220106,321,GBP,46.07
20220660,673,CNY,274.39
20230481,441,EUR,460.99
20205524,879,CNY,67.9
20229905,88,GBP,469.16
20202042,545,CNY,173.24
20231016,391,GBP,264.44
20224671,XYZ,EUR,N/A
20224799,737,USD,76.51
20215536,111,GBP,81.4
20223447,353,EUR,411.0
20214393,392,GBP,427.81
